,county,HOR,state,Lat,Long,Lng
2179,Mayes,73.4, OK,36.2322429,,-95.3102505
2180,Murray,67.8, OK,34.4383273,,-97.0498442
2181,Muskogee,66.5, OK,35.7478769,,-95.3696909
2182,Noble,73.4, OK,35.1392357,,-97.394753
2183,Nowata,75.7, OK,36.700645,,-95.6380341
2184,Okfuskee,72.8, OK,35.4878871,,-96.3226072
2185,Oklahoma,58.9, OK,35.4675602,,-97.5164276
2186,Okmulgee,70.7, OK,35.6266957,,-95.9515399
2187,Osage,77.1, OK,36.2928497,,-96.4158527
2188,Ottawa,68.6, OK,36.7710787,,-94.81059549999999
2189,Pawnee,75.9, OK,36.3378321,,-96.8039232
2190,Payne,49.5, OK,34.9061837,,-97.5300307
2191,Pittsburg,72.7, OK,34.7131522,,-95.84998979999999
2192,Pontotoc,64.0, OK,34.7685043,,-96.663812
2193,Pottawatomie,68.8, OK,35.275439,,-97.0068393
2194,Pushmataha,73.8, OK,34.4820384,,-95.3102505
2195,Roger Mills,71.7, OK,35.616176,,-99.634135
2196,Rogers,78.1, OK,36.3898068,,-95.6457951
2197,Seminole,70.1, OK,35.2245201,,-96.67057299999999
2198,Sequoyah,71.2, OK,36.3728917,,-95.5622252
2199,Stephens,71.4, OK,34.5203466,,-97.87216
2200,Texas,64.8, OK,36.8301318,,-101.4339148
2201,Tillman,76.9, OK,34.4478348,,-98.92453429999999
2202,Tulsa,59.1, OK,36.1539816,,-95.99277500000001
2203,Wagoner,79.2, OK,35.9595442,,-95.36941159999999
2204,Washington,69.9, OK,35.0589583,,-97.4844761
2205,Washita,72.9, OK,35.1028386,,-98.3408881
2206,Woods,67.0, OK,36.7181862,,-98.7481167
2207,Woodward,71.6, OK,36.4336481,,-99.3903862
2208,Baker,68.3, OR,44.7748748,,-117.8343848
2209,Benton,56.9, OR,44.6281686,,-123.3873877
2210,Clackamas,69.6, OR,45.4076205,,-122.5703692
2211,Clatsop,61.1, OR,46.0210796,,-123.7653042
2212,Columbia,73.0, OR,40.8094253,,-73.960049
2213,Coos,65.2, OR,43.242897,,-124.105737
2214,Crook,67.4, OR,44.0978126,,-120.0963654
2215,Curry,67.5, OR,42.54405029999999,,-124.2781762
2216,Deschutes,65.3, OR,44.1565074,,-121.2555881
2217,Douglas,68.0, OR,43.1260694,,-123.2492364
2218,Gilliam,64.0, OR,45.4565608,,-120.1802024
2219,Grant,73.1, OR,44.4384077,,-118.8917326
2220,Harney,69.9, OR,43.1423225,,-119.0116305
2221,Hood River,63.8, OR,45.7053966,,-121.5214623
2222,Jackson,62.9, OR,42.334535,,-122.7646577
2223,Jefferson,68.7, OR,44.7195662,,-123.0103708
2224,Josephine,66.4, OR,42.3447572,,-123.4568737
2225,Klamath,65.0, OR,42.69527670000001,,-121.6142133
2226,Lake,59.5, OR,36.9205896,,-95.9541824
2227,Lane,58.8, OR,43.9610092,,-122.6618227
2228,Lincoln,63.6, OR,44.609549,,-123.9423591
2229,Linn,64.1, OR,44.4099768,,-122.53401
2230,Malheur,58.0, OR,43.21716,,-117.5791892
2231,Marion,59.8, OR,44.7490108,,-122.942314
2232,Morrow,70.9, OR,45.4514124,,-119.6243921
2233,Multnomah,54.3, OR,45.5145659,,-122.5863211
2234,Polk,64.6, OR,44.9266528,,-123.4919256
2235,Sherman,63.8, OR,45.4122013,,-120.753042
2236,Tillamook,69.2, OR,45.4562158,,-123.8440137
2237,Umatilla,62.9, OR,45.9173549,,-119.3425179
2238,Union,63.3, OR,45.2084696,,-117.8652126
2239,Wallowa,67.9, OR,45.5701445,,-117.5282416
2240,Wasco,64.1, OR,45.5917918,,-120.698113
2241,Washington,60.8, OR,45.5469616,,-123.1386021
2242,Wheeler,74.0, OR,45.688996,,-123.8806879
2243,Yamhill,67.9, OR,45.3415045,,-123.1878238
2244,Adams,77.8, PA,39.8522417,,-77.2864879
2245,Allegheny,64.9, PA,40.4450813,,-80.0087746
2246,Armstrong,75.8, PA,40.8790518,,-79.4703885
2247,Beaver,73.3, PA,40.6953437,,-80.30478459999999
2248,Bedford,79.5, PA,40.0186921,,-78.50390689999999
2249,Berks,72.2, PA,40.3451566,,-75.9927652
2250,Blair,70.1, PA,40.4531318,,-78.3842227
2251,Bradford,74.8, PA,41.9564953,,-78.649163
2252,Bucks,76.6, PA,40.4107964,,-75.2479061
2253,Butler,76.2, PA,40.8611755,,-79.89533279999999
2254,Cambria,74.3, PA,40.4894231,,-78.74762079999999
2255,Cameron,72.1, PA,41.4261564,,-78.1564432
2256,Carbon,77.3, PA,40.901975,,-75.667356
2257,Centre,61.4, PA,40.8765649,,-77.8367282
2258,Chester,75.2, PA,39.849557,,-75.3557457
2259,Clarion,69.4, PA,41.2147851,,-79.3853218
2260,Clearfield,76.9, PA,41.0272796,,-78.4391876
2261,Clinton,70.7, PA,40.4913949,,-80.2973027
2262,Columbia,69.0, PA,40.0337085,,-76.50440979999999
2263,Crawford,72.8, PA,41.6661391,,-80.2767327
2264,Cumberland,70.7, PA,40.1299841,,-77.2405153
2265,Dauphin,63.5, PA,40.3673093,,-76.9310859
2266,Delaware,69.6, PA,39.907793,,-75.3878525
2267,Elk,78.8, PA,41.4284924,,-78.5660852
2268,Erie,66.1, PA,42.12922409999999,,-80.085059
2269,Fayette,73.0, PA,39.9272324,,-79.6502105
2270,Forest,85.4, PA,41.53410119999999,,-79.24511489999999
