,county,counts
607,"Habersham, GA",2
608,"Mcminn, TN",2
609,"Polk, MO",2
610,"Coles, IL",2
611,"Ascension, LA",2
612,"Bay, FL",2
613,"Butler, MO",2
614,"Logan, WV",2
615,"Staunton, VA",2
616,"Sandusky, OH",2
617,"Rankin, MS",2
618,"Robeson, NC",2
619,"Carter, TN",2
620,"Sullivan, NY",2
621,"Tuscarawas, OH",2
622,"Mineral, WV",2
623,"Jackson, FL",2
624,"Bannock, ID",2
625,"Lycoming, PA",2
626,"Ashtabula, OH",2
627,"Ellis, KS",2
628,"Lyon, KS",2
629,"Hays, TX",2
630,"Kenai Peninsula, AK",2
631,"Beaufort, SC",2
632,"Clark, OH",2
633,"Boyd, KY",2
634,"Mifflin, PA",2
635,"Garfield, CO",2
636,"Albemarle, VA",2
637,"Garland, AR",2
638,"Baxter, AR",2
639,"Alexandria, VA",2
640,"Fairfield, OH",2
641,"Ashland, OH",2
642,"Nash, NC",2
643,"Onslow, NC",2
644,"Sutter, CA",2
645,"Racine, WI",2
646,"Ross, OH",2
647,"Baldwin, GA",2
648,"Beaverhead, MT",2
649,"Jackson, IL",2
650,"Winnebago, WI",2
651,"Winneshiek, IA",2
652,"Lowndes, GA",2
653,"Washington, TX",2
654,"Wadena, MN",2
655,"Mckinley, NM",2
656,"Ottawa, OK",2
657,"Hamblen, TN",2
658,"Woodford, KY",2
659,"Harford, MD",2
660,"Mccurtain, OK",2
661,"Jefferson, IN",2
662,"Wapello, IA",2
663,"Delta, MI",2
664,"Codington, SD",2
665,"Howard, MO",2
666,"Franklin, VA",2
667,"Bay, MI",2
668,"Latimer, OK",2
669,"Clermont, OH",2
670,"Strafford, NH",2
671,"Lincoln, OR",2
672,"Thurston, NE",2
673,"Harrison, TX",2
674,"Marshall, IA",2
675,"Belknap, NH",2
676,"Clarion, PA",2
677,"Jefferson, PA",2
678,"Catawba, NC",2
679,"Howell, MO",2
680,"Barranquitas Municipio, PR",2
681,"Carter, OK",2
682,"Roane, TN",2
683,"Lenawee, MI",2
684,"Campbell, TN",2
685,"Randall, TX",2
686,"Walworth, WI",2
687,"Guadalupe, TX",2
688,"Maury, TN",2
689,"Tazewell, VA",2
690,"Hancock, ME",2
691,"Thomas, GA",2
692,"Cherokee, TX",2
693,"Nodaway, MO",2
694,"Cleveland, NC",2
695,"Ector, TX",2
696,"Pinal, AZ",2
697,"Buena Vista, IA",2
698,"Tolland, CT",2
699,"Walker, TX",2
700,"Washington, ME",2
701,"Dodge, NE",2
702,"Hertford, NC",2
703,"Rhea, TN",2
704,"Greene, PA",2
705,"Roscommon, MI",2
706,"Saline, MO",2
707,"Grand Forks, ND",2
708,"Chippewa, MI",2
709,"Menominee, WI",2
710,"Sullivan, TN",2
711,"Perry, AL",2
712,"Wood, TX",2
713,"Fairbanks North Star, AK",2
714,"Harnett, NC",2
715,"Buchanan, VA",2
716,"Wise, VA",2
717,"Juana Díaz Municipio, PR",2
718,"St. Mary'S, MD",2
719,"Uvalde, TX",2
720,"Harvey, KS",2
721,"Kerr, TX",2
722,"Union, AR",2
723,"Henry, IA",2
724,"Benton, OR",2
725,"Independence, AR",2
726,"Missoula, MT",2
727,"Carroll, TN",2
728,"Pickens, SC",2
729,"Kenton, KY",2
730,"Clatsop, OR",2
731,"Lewis And Clark, MT",2
732,"Angelina, TX",2
733,"Garfield, OK",2
734,"Hillsdale, MI",2
735,"Augusta, VA",2
736,"Seward, NE",2
737,"Tippah, MS",2
738,"Anson, NC",2
739,"Johnson, MO",2
740,"Richland, IL",2
741,"Webster, IA",2
742,"Jefferson, MO",2
743,"Craighead, AR",2
744,"Pueblo, CO",2
745,"Albany, WY",2
746,"Avery, NC",2
747,"Houghton, MI",2
748,"Oswego, NY",2
749,"Geauga, OH",2
750,"Chelan, WA",2
751,"Josephine, OR",2
752,"Randolph, MO",2
753,"Huntingdon, PA",2
754,"Cochise, AZ",2
755,"Mendocino, CA",2
756,"Gloucester, VA",2
757,"Polk, MN",2
758,"Ellis, TX",2
759,"Knox, IL",2
760,"Clearfield, PA",2
761,"Floyd, IN",2
762,"Fajardo Municipio, PR",2
763,"Bamberg, SC",2
764,"Desoto, MS",2
765,"Newton, MO",2
766,"Carroll, MD",2
767,"Herkimer, NY",2
